Trust Code,Location,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01
RA3,"(51.32306697502782, -2.9725926265451634)",12,9,9,9,10,3,10,7,8,7,7,8,7,11,15,14,16,16,9,4,10,13,11,17,10,9,13,11,11,10,17,16,10,5,11,6,10,10,13,13,5,14,11,14,11,10,12,13,15,13,9,10,14,11,12,11,9,13,7,9,15,6,11,9,8,14,5,8,13,5,5,8,11,13,9,10,10,16,11,13,12,8,8,7,19,6,8,15,14,21,5,7,10,7,5
RBL,"(53.36961320523751, -3.095313348598841)",0,0,0,0,0,0,0,0,0,0,0,0,26,13,19,19,19,22,18,11,13,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,26,8,31,17,22,27,20,20,27,21,10,20,20,18,21,20,32,26,30,30,26,25,29,17,18,20,22,19,23,21,22,29,22,20,25,24,20,26,24,26,28,16,13,25,23,22,22,33
RWP,"(52.1931699994085, -2.1808779879210287)",19,26,21,21,13,31,18,25,15,15,25,16,24,21,20,22,23,34,22,21,27,12,19,30,24,28,24,26,23,19,34,23,20,25,16,37,17,36,29,25,31,24,21,21,26,34,25,31,35,30,35,25,35,27,39,34,29,25,26,36,30,31,44,41,35,40,31,26,26,23,16,22,28,33,29,31,36,42,25,32,34,25,31,37,37,45,36,25,42,34,27,30,25,30,22
RRF,"(53.550428348100326, -2.6305107280912314)",20,16,10,12,16,12,12,5,9,11,7,14,11,18,13,11,14,15,18,10,14,12,9,14,8,7,16,17,17,5,8,13,9,15,15,8,10,10,8,9,16,17,12,8,13,13,4,20,8,15,12,12,13,12,17,15,14,15,12,12,16,20,6,6,9,19,20,10,6,13,6,5,13,18,13,19,18,12,11,9,9,15,14,18,9,13,14,7,9,8,11,7,3,8,9
RLQ,"(52.057642650958975, -2.7061941874939497)",9,4,7,10,7,9,6,7,4,2,6,10,9,7,3,13,8,9,13,14,10,5,3,5,9,18,11,15,11,7,4,8,22,10,7,12,15,11,6,13,6,5,10,11,15,7,9,6,9,11,6,12,14,6,6,5,9,10,3,11,7,13,13,15,10,10,12,8,6,9,7,11,8,11,8,9,16,9,14,6,7,10,9,12,17,8,14,24,11,8,12,9,9,13,12
RA4,"(50.945265824811706, -2.634224796075096)",9,2,9,9,6,3,6,5,11,4,6,6,6,5,8,9,5,6,9,3,9,9,9,9,7,8,5,7,6,5,6,7,2,7,7,5,6,10,9,12,9,5,13,14,13,6,11,18,16,20,13,17,16,23,16,18,12,15,6,14,15,13,22,17,17,12,12,17,13,13,13,13,13,16,12,15,19,16,19,15,11,15,19,13,16,17,15,19,16,11,20,14,12,15,9
RCB,"(53.970713086367546, -1.0842893858377123)",39,37,26,39,37,32,41,25,22,32,30,46,28,25,40,36,42,46,39,37,38,40,33,41,49,40,32,33,49,42,35,44,50,42,25,40,38,41,38,34,29,32,33,35,35,50,50,39,36,26,41,60,50,48,38,50,33,42,46,42,49,44,43,37,50,42,50,49,51,44,36,39,49,46,43,51,49,54,46,39,33,42,46,49,50,45,49,47,66,41,47,47,46,41,42
R1K,"(51.57613542141185, -0.3231242645066181)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,37,25,33,38,36,33,40,37,34,27,27,44,45,40,46,39,40,46,32,27,47,38,37,30,44,47,45,40,42,38,38,32,40,42,41,39,30,49,43,50,52,48,32,40,41,49,50,54,45,47,39,59,46,51,44,35,57,39,49,37,39,42,53,51,41,41,46,54,59,39
R0A,"(53.461381439077016, -2.227618086150605)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32,40,40,43,41,48,44,36,38,46,40,35,38,48,61,54,60,62,38,49,48,48,32,57,38,54,51,46,49,68,59,48,44,44,42
R0B,"(54.90694311691212, -1.4129979921757518)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,50,36,42,40,44,49,41,34,40,37,39
