Trust Code,Location,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01
RMP,"(53.494531344050884, -2.0707396309041015)",7,11,7,15,9,12,11,17,17,12,7,15,8,12,13,10,8,14,10,15,8,14,9,9,11,8,9,13,15,11,18,14,14,7,6,12,13,11,19,23,11,16,15,7,15,16,11,7,10,14,15,17,19,19,15,10,16,10,12,12,23,11,13,17,9,15,7,5,15,14,12,15,20,16,13,19,16,18,19,21,9,18,16,17,11,17,12,11,26,14,13,11,9,14,18
RBA,"(51.01247458188072, -3.1195635960358357)",16,13,12,17,14,20,20,22,11,14,11,13,14,15,16,8,11,20,16,8,15,16,15,15,16,21,17,25,12,13,19,13,13,18,17,14,8,21,19,25,29,14,26,24,23,15,24,14,20,22,22,22,26,26,20,22,27,20,14,21,20,23,22,31,24,28,31,23,29,19,17,25,26,21,32,26,25,21,24,17,23,22,21,18,19,26,20,44,27,27,21,22,31,18,22
RBV,"(53.430510639301, -2.228165025290267)",3,7,8,7,6,4,6,1,4,3,3,10,7,2,3,7,7,5,2,6,6,3,6,3,4,3,4,7,3,6,3,5,5,2,4,3,6,3,7,3,8,6,2,4,5,6,4,9,3,5,2,3,1,5,8,3,9,4,4,9,7,3,9,8,10,7,10,8,9,4,4,5,5,11,13,7,5,6,7,9,9,5,7,12,10,7,7,5,5,5,11,6,6,6,6
RNA,"(52.50398746173204, -2.11919533223778)",15,13,17,14,23,22,30,20,14,18,18,23,25,13,14,22,29,17,22,15,17,19,33,24,21,22,19,15,24,22,19,22,16,17,19,19,20,24,30,25,32,18,29,24,26,18,28,17,20,23,28,22,28,29,26,20,26,24,21,25,16,27,31,24,15,19,26,19,18,24,23,27,28,31,25,28,30,25,23,31,25,26,32,21,37,27,43,28,28,36,27,26,24,35,16
RAS,"(51.52590168742583, -0.46106686504356226)",14,12,9,7,13,14,16,7,8,16,10,12,8,12,12,14,11,15,13,19,9,11,15,10,4,10,13,11,15,23,15,21,14,18,14,9,12,16,18,10,16,12,17,12,16,13,17,13,16,19,25,15,17,17,20,14,14,16,19,18,16,32,15,17,20,14,14,11,9,13,16,17,22,24,21,17,13,22,18,21,16,8,18,21,13,24,21,17,21,23,19,15,18,23,15
RTD,"(55.01452590519652, -1.5921727969138613)",18,25,34,19,31,35,25,31,25,27,29,38,32,31,16,34,30,31,27,25,28,28,27,34,33,34,39,45,30,31,27,36,29,38,32,36,22,32,39,32,27,34,35,44,40,41,32,43,35,44,48,28,27,36,28,36,41,32,37,33,31,38,36,30,48,29,35,35,39,35,26,48,39,43,42,41,40,34,39,31,38,42,38,38,33,30,35,31,50,33,38,34,33,39,29
RCX,"(52.75723821379775, 0.44722446637870983)",8,7,13,13,10,15,10,14,12,5,15,9,5,7,12,17,18,13,12,13,12,11,16,13,9,15,8,15,20,15,13,16,19,10,18,13,8,24,21,14,10,20,16,17,12,15,13,15,14,11,21,24,16,21,20,15,22,20,17,21,18,18,20,17,17,18,19,29,18,14,12,13,12,18,23,26,18,25,31,22,11,15,17,21,14,19,14,23,16,10,23,22,13,21,13
RL1,"(52.884777532496685, -3.033247202853522)",1,1,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,2,0,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,1,1,1,1,1,0
RFR,"(53.414598002171076, -1.342534825299374)",16,24,17,10,13,22,24,15,11,15,15,17,18,14,7,12,26,16,17,28,18,26,12,12,16,11,25,20,16,15,15,11,12,17,14,18,14,15,17,20,13,24,15,18,14,18,20,15,14,22,11,20,20,17,18,20,16,19,17,13,17,15,14,24,14,15,13,20,10,12,14,10,21,22,14,21,13,28,14,16,25,12,15,14,26,23,24,19,17,25,15,12,15,15,16
RDZ,"(50.74721119318759, -1.8217171268818912)",21,18,14,19,24,24,25,33,15,13,21,13,14,24,16,29,22,3,2,7,19,20,12,28,16,20,13,35,31,18,31,22,23,21,25,22,23,22,19,21,28,35,27,21,23,29,22,25,43,28,20,45,35,33,30,23,23,23,21,30,21,34,32,24,40,24,25,31,21,25,29,24,13,22,24,31,33,41,26,27,34,32,27,21,34,23,21,33,29,30,31,24,23,31,29
