,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
2014-09-01,28,19,1,23,35,0,17,58,14,19,3,1,31,13,22,23,17,13,19,23,17,4,23,17,1,17,19,30,17,19,35,23,11,0,22,14,44,26,22,20,36,14,12,27,1,14,14,12,6,48,0,4,10,28,25,15,9,7,12,34,11,28,61,18,0,1,16,23,18,14,16,0,36,19,0,30,31,18,13,18,0,21,6,23,44,65,27,0,39,18,36,15,30,19,0,15,0,21,16,46,19,0,1,13,26,24,12,9,18,3,46,21,26,20,45,6,14,15,22,28,22,28,22,11,13,6,22,23,31,15,0,15,18,6,0,2,8,38,18,27,56,14,33,25,29,54,18,11,11,20,7,22,18,10,0,19,5,7,5,42,36,0,0
2014-10-01,24,15,3,12,32,0,9,53,18,14,0,1,23,12,17,24,30,14,27,24,18,6,18,25,3,18,16,32,22,6,41,28,8,0,20,14,46,35,23,20,40,7,18,25,0,19,16,18,12,45,0,5,8,33,23,18,11,16,15,36,15,30,54,22,2,1,12,23,25,17,16,0,33,14,0,25,23,19,16,20,0,23,7,20,46,76,30,1,48,18,35,22,24,17,0,29,1,18,14,52,31,0,1,10,30,25,8,7,26,4,45,18,30,15,41,8,10,19,13,31,21,20,18,18,19,3,19,15,27,13,1,15,31,11,0,0,8,36,22,29,42,19,25,17,31,39,14,12,11,29,12,16,19,17,0,34,8,4,6,35,33,0,0
2014-11-01,24,9,3,20,45,0,15,46,25,10,3,1,26,13,21,18,16,23,22,27,19,10,25,27,0,18,16,30,15,15,29,17,5,0,25,10,39,29,21,13,27,14,14,29,2,15,16,18,6,36,0,7,11,33,32,11,14,12,22,39,10,28,48,32,0,1,15,21,21,17,13,0,38,16,0,25,22,17,14,19,0,17,12,27,30,76,29,0,31,17,28,16,22,12,0,25,1,14,14,36,26,0,2,9,21,29,17,6,18,0,41,20,19,22,39,4,15,9,16,21,16,20,15,14,13,5,22,21,36,16,0,11,22,7,0,1,13,31,20,27,30,14,27,14,24,54,21,12,12,9,7,11,25,16,0,23,13,8,7,44,40,0,0
2014-12-01,15,11,2,21,44,0,17,43,22,14,1,1,18,26,9,30,24,17,21,18,32,6,15,27,0,27,17,24,9,12,35,24,6,0,24,19,38,27,19,21,32,12,8,20,2,21,24,13,4,43,0,2,10,32,26,13,9,9,18,32,7,24,50,31,1,2,12,27,22,18,11,0,30,11,0,27,21,21,17,16,0,24,5,22,29,73,32,1,41,10,25,13,28,11,0,17,3,21,20,40,20,0,1,20,22,26,14,7,19,0,40,19,22,16,30,5,11,12,15,23,17,9,16,14,13,5,16,14,29,19,2,12,23,8,0,1,5,32,23,24,45,20,18,14,25,42,18,10,9,18,10,13,30,10,0,20,9,22,2,50,37,0,0
2015-01-01,20,11,1,19,38,0,24,56,12,11,1,1,20,29,16,15,9,13,22,36,24,5,16,21,2,19,11,19,12,15,27,20,6,0,14,9,36,32,12,19,38,14,14,21,3,23,20,11,12,51,0,7,9,19,35,12,11,15,17,35,9,15,50,24,2,1,13,21,21,20,15,0,27,7,0,19,16,18,22,19,0,22,11,31,43,63,27,1,40,14,22,14,37,16,0,21,2,18,18,39,33,0,0,13,21,30,16,10,15,1,45,31,15,18,25,8,17,17,16,21,18,19,14,7,18,2,17,18,38,10,0,17,21,4,0,1,9,38,18,32,37,15,24,17,25,37,17,8,18,18,17,9,27,5,0,25,15,10,7,42,34,0,0
2015-02-01,35,8,1,18,32,0,14,48,23,6,4,2,24,14,13,11,19,12,26,18,22,1,23,21,1,14,19,23,9,15,35,30,11,0,18,9,33,31,14,15,36,20,6,20,1,16,24,12,7,33,0,3,12,31,23,15,8,17,17,30,12,20,45,20,0,0,16,28,15,15,10,0,23,15,0,23,21,15,8,18,0,16,12,28,29,48,28,0,31,17,27,10,28,11,0,20,2,18,17,37,15,0,0,17,24,26,15,3,13,0,47,21,17,14,25,9,9,11,19,34,21,11,18,6,17,4,19,14,32,18,0,14,25,8,0,1,16,27,24,24,37,10,26,18,18,57,18,14,15,11,18,18,19,11,0,16,15,7,7,25,27,0,0
2015-03-01,24,13,1,16,38,0,7,60,16,13,1,0,22,14,27,23,22,10,26,22,21,8,17,22,0,19,16,30,10,14,32,33,9,0,18,7,40,25,24,25,38,14,11,16,0,22,24,12,6,49,0,5,13,25,30,15,9,15,17,33,7,21,40,35,0,0,12,29,23,14,13,0,22,16,0,32,26,21,18,21,0,6,10,29,33,78,33,0,40,18,39,12,32,8,0,25,0,15,27,29,28,0,0,9,27,20,17,5,34,2,63,29,25,7,39,8,15,16,22,29,24,14,12,12,14,3,19,9,36,13,1,18,22,4,0,2,12,20,21,18,37,18,18,12,27,40,8,13,4,19,18,23,37,6,0,37,8,12,5,40,27,0,0
2015-04-01,27,15,3,23,41,0,14,55,14,11,2,2,19,29,26,29,21,6,25,24,24,10,24,27,0,12,19,21,12,16,36,28,7,0,15,15,40,35,23,21,37,10,9,12,0,22,20,25,10,44,0,9,7,24,27,11,14,14,14,29,8,25,40,24,1,2,13,24,21,9,12,0,33,15,0,32,14,13,19,14,0,17,12,23,23,61,34,0,29,20,27,14,21,16,0,18,2,19,24,41,24,0,1,16,13,27,10,6,28,0,64,20,21,13,36,14,10,16,10,31,35,18,15,13,8,6,20,12,22,8,2,14,23,9,0,2,16,36,19,29,46,16,27,19,16,56,13,14,13,18,14,15,21,10,0,17,10,15,6,38,44,0,0
2015-05-01,26,5,1,25,39,0,15,39,28,9,2,1,21,23,19,25,17,5,19,29,33,10,17,27,0,21,15,26,13,13,31,21,15,0,14,12,44,30,28,21,38,14,11,31,1,18,22,17,12,60,0,6,15,32,29,11,6,11,22,36,19,15,44,28,1,1,11,22,22,13,19,0,30,11,0,23,20,16,20,20,0,20,11,26,45,57,39,3,36,17,28,20,29,9,0,16,0,9,14,35,30,0,0,12,30,28,12,9,19,1,42,27,22,12,30,7,10,18,15,31,24,22,23,11,21,3,24,16,32,24,1,15,22,5,1,0,14,38,28,26,46,15,21,18,29,55,15,19,17,13,13,20,23,10,0,36,10,11,10,41,45,0,0
2015-06-01,27,11,3,18,39,0,20,48,19,17,6,0,29,12,21,21,17,10,27,24,26,7,14,29,0,27,22,23,16,9,35,22,9,0,18,10,36,30,26,28,45,16,7,23,3,17,18,19,10,53,0,9,6,34,32,19,11,12,13,35,15,18,39,36,2,2,13,34,18,15,17,0,41,18,0,27,21,19,9,13,0,18,8,26,45,60,36,1,48,23,34,25,37,8,0,28,1,22,17,44,28,0,0,19,20,31,20,10,31,0,53,30,25,12,38,8,13,19,16,38,21,19,20,19,19,7,30,18,39,21,0,17,19,5,0,0,8,45,16,26,49,27,22,18,29,48,21,8,15,16,18,17,25,13,0,29,8,6,9,38,40,0,0
2015-07-01,23,10,5,22,43,0,17,61,20,7,3,0,21,19,23,23,19,14,24,22,16,13,20,23,0,24,13,27,18,20,43,25,11,0,29,12,52,27,34,12,38,9,8,32,1,32,16,23,9,57,0,8,16,38,32,13,16,17,14,38,11,29,52,44,2,2,15,28,21,18,9,0,35,14,0,44,29,15,15,30,0,23,9,27,34,77,41,0,35,22,26,21,28,13,0,26,2,19,18,38,35,0,1,23,20,30,15,11,26,1,65,45,28,20,33,5,9,27,25,32,16,20,18,23,25,3,25,10,32,14,0,20,21,6,0,1,11,41,28,22,58,25,20,23,23,65,23,17,11,22,17,11,34,13,0,25,9,13,12,34,46,0,0
2015-08-01,26,5,4,20,42,0,19,61,23,10,2,0,29,25,26,21,21,9,27,20,26,5,19,23,3,17,20,39,12,16,38,30,8,0,28,10,49,35,30,29,46,28,12,23,3,32,19,19,18,47,0,12,12,35,29,15,13,11,20,41,20,34,53,31,1,2,15,18,29,23,18,0,32,11,0,38,26,15,20,17,0,17,5,25,39,57,37,0,41,19,29,23,41,11,0,21,1,17,23,46,30,0,1,20,26,17,14,12,13,0,45,35,30,16,41,5,15,20,14,32,26,19,34,11,29,8,32,16,27,10,0,13,28,7,0,2,12,33,30,26,50,25,33,34,29,48,22,11,14,26,12,15,23,5,0,31,16,6,9,29,39,0,0
2015-09-01,33,8,3,22,38,0,19,53,19,12,3,0,29,27,23,25,21,13,34,23,16,10,29,22,0,16,24,32,17,17,22,38,11,0,18,13,42,35,23,24,45,14,8,22,1,24,12,20,19,68,0,7,19,33,37,17,10,13,21,48,12,27,57,37,0,3,16,27,19,13,17,0,33,11,0,37,31,20,14,25,0,20,7,23,36,65,41,1,33,24,38,19,33,12,0,20,2,24,16,33,32,0,0,10,21,26,16,7,25,4,54,22,31,20,47,11,13,16,20,38,28,23,30,16,14,6,18,12,34,20,0,24,35,7,0,1,8,43,31,33,48,19,21,29,17,57,26,13,13,20,12,15,35,14,0,24,17,5,5,32,40,0,0
2015-10-01,25,9,2,15,51,0,17,56,20,15,1,1,25,21,24,20,25,12,26,27,19,10,15,26,3,18,15,27,15,13,29,40,9,0,17,15,43,34,23,26,52,11,11,25,1,26,16,22,14,72,0,6,13,32,31,12,8,17,17,42,20,24,43,32,0,1,12,23,19,10,16,0,40,14,0,29,19,15,23,24,0,21,14,27,36,63,35,1,35,17,39,20,29,7,0,20,0,22,25,45,24,0,0,16,28,27,29,8,24,0,59,25,30,18,58,11,9,19,16,25,19,22,29,15,26,2,29,17,35,16,0,15,27,8,1,2,10,32,28,33,63,18,22,20,25,52,29,14,17,17,12,13,26,11,0,21,12,10,13,33,46,0,0
2015-11-01,35,16,0,16,46,0,11,56,20,10,4,0,20,24,17,23,22,8,26,26,34,5,28,30,2,25,24,33,21,18,37,35,6,0,24,11,50,23,23,21,35,13,6,18,2,24,23,19,10,42,0,8,9,28,28,17,12,10,13,37,16,15,46,40,0,0,20,27,20,15,10,0,45,15,0,29,14,28,15,28,0,19,7,30,29,66,49,0,38,21,33,14,26,11,0,25,2,17,22,37,29,0,0,9,22,26,17,6,14,3,59,20,16,17,35,4,14,18,26,29,13,15,19,7,24,4,24,12,44,17,0,18,21,5,0,2,8,39,31,33,57,10,25,24,30,52,20,7,7,20,19,21,22,14,0,21,8,11,14,35,32,0,0
2015-12-01,22,13,1,26,44,0,15,54,20,9,1,2,23,18,22,25,20,6,24,21,15,5,27,20,0,18,17,24,16,12,50,30,9,0,18,13,43,30,16,29,52,14,5,27,3,27,18,18,15,39,0,6,13,29,31,28,4,16,16,28,16,24,47,36,2,2,15,28,23,14,15,0,30,18,0,29,21,18,30,21,0,22,10,24,33,63,28,1,32,17,31,15,25,14,0,21,1,18,21,29,22,0,0,13,27,19,22,9,18,1,57,22,24,20,34,6,15,10,16,28,18,17,23,15,23,5,26,16,40,12,0,14,23,5,0,0,5,30,22,28,47,14,26,25,21,46,21,8,8,29,11,16,24,11,1,26,13,15,13,35,27,0,0
2016-01-01,23,17,0,15,39,0,8,47,18,8,4,0,27,18,18,27,14,7,30,29,27,9,23,23,1,21,16,29,19,21,39,37,7,0,19,9,43,31,29,23,57,21,11,21,1,17,22,16,7,51,0,11,10,31,24,24,4,20,19,37,13,29,47,26,1,1,18,26,25,19,11,0,37,16,0,28,29,18,18,30,0,19,4,28,28,70,42,1,39,21,35,16,25,7,1,22,1,15,18,49,17,0,0,16,29,29,14,9,21,1,54,29,26,12,46,15,13,27,18,35,14,17,23,16,15,6,18,13,41,15,0,18,29,3,0,3,7,35,27,31,46,21,24,13,33,45,20,8,11,16,20,16,16,10,7,34,13,7,6,50,47,0,0
2016-02-01,21,10,0,14,37,0,18,43,19,8,2,0,28,16,12,15,21,11,26,11,19,9,15,18,2,18,19,27,26,18,38,35,13,0,25,10,47,29,31,23,31,21,11,22,1,18,20,20,8,50,0,11,7,30,27,9,11,18,21,29,16,17,52,26,3,1,16,31,23,18,17,0,26,18,0,30,18,14,18,15,0,11,8,24,28,50,35,2,29,17,38,20,24,11,0,18,0,21,23,38,22,0,2,7,15,26,17,8,24,1,45,35,22,13,30,11,8,18,12,29,15,16,20,11,24,4,28,17,32,13,0,20,22,3,0,2,9,31,14,27,44,16,25,22,22,38,17,10,12,17,9,14,26,12,12,25,4,9,11,50,38,0,0
2016-03-01,18,9,2,21,43,0,20,59,17,7,4,0,20,21,22,24,23,7,13,22,23,27,24,25,1,20,19,26,23,22,40,31,8,0,31,17,39,35,32,15,55,22,10,20,0,14,31,13,12,51,0,3,14,28,27,10,14,22,14,29,14,33,56,37,1,1,20,21,26,20,9,0,31,16,0,30,12,16,15,31,0,24,9,30,35,66,39,1,36,23,35,19,23,11,0,20,2,29,20,34,17,0,1,11,20,15,20,12,25,2,48,28,26,12,38,8,17,18,21,34,20,13,31,7,14,9,17,13,43,15,0,15,25,4,1,2,8,26,24,24,56,19,23,21,20,69,17,6,17,18,0,10,37,13,26,31,20,6,18,39,37,0,0
2016-04-01,22,12,2,23,50,0,16,61,17,11,0,0,25,12,11,21,20,13,18,22,16,20,22,26,2,20,9,27,14,10,39,21,6,0,28,10,50,29,23,17,39,18,7,29,1,22,20,22,9,46,0,9,15,31,25,18,13,13,26,33,8,16,55,31,0,0,19,22,22,16,21,0,35,16,0,24,18,19,19,25,0,28,7,27,26,52,54,0,34,15,20,8,34,18,1,16,2,17,16,38,27,0,0,10,14,22,14,11,18,2,68,20,18,20,34,14,12,19,15,29,13,16,17,10,20,3,20,16,35,14,0,14,43,2,0,2,12,32,29,35,50,22,17,14,24,43,19,12,14,11,0,9,46,15,8,35,8,9,16,36,30,0,0
2016-05-01,24,12,4,19,41,0,16,60,17,7,3,0,40,25,26,20,12,10,22,27,26,23,18,24,1,29,10,25,14,28,38,33,13,0,21,8,56,39,27,29,53,13,12,28,3,24,26,15,9,57,0,9,7,39,37,11,10,22,22,40,18,28,64,29,0,1,18,27,28,14,15,0,53,12,0,31,21,22,19,23,0,22,21,24,34,64,32,1,33,15,22,25,29,10,0,25,2,21,15,37,24,0,1,18,24,22,17,6,17,3,50,35,29,15,38,14,17,12,20,25,20,17,30,14,22,5,23,19,44,11,1,22,28,7,0,2,11,24,24,27,61,20,25,20,31,45,27,12,14,14,0,8,26,13,31,30,15,11,20,26,44,0,0
2016-06-01,16,15,2,26,51,0,15,74,17,10,6,0,25,24,29,25,30,7,25,24,31,24,31,28,1,25,16,26,15,25,39,30,15,0,26,10,45,32,24,35,47,17,13,24,3,14,20,22,7,50,0,9,8,26,38,17,10,15,23,44,14,28,54,34,0,1,17,31,33,15,23,0,42,17,0,29,38,20,12,17,0,15,17,26,43,66,44,0,45,10,23,21,38,19,0,22,1,27,16,45,23,0,1,20,26,21,20,8,31,1,54,18,13,13,45,14,14,19,15,35,27,22,23,15,22,2,28,25,48,21,0,11,20,3,0,0,6,31,28,29,50,20,24,19,22,36,20,10,14,14,0,14,28,9,17,35,12,6,13,41,47,0,0
2016-07-01,34,10,0,14,38,0,17,57,23,9,4,0,22,27,24,20,27,9,29,20,32,28,26,25,0,23,17,45,20,10,41,41,15,0,24,15,52,30,27,28,54,14,18,30,4,23,19,23,9,52,0,11,11,34,34,23,11,18,24,45,20,29,64,39,2,1,18,32,24,11,16,0,36,20,0,40,24,24,13,22,0,23,12,31,40,58,53,2,44,17,40,16,41,9,0,31,1,22,19,37,24,0,2,20,24,33,18,13,22,1,60,33,27,30,39,10,16,21,26,38,22,22,34,17,22,3,22,15,28,24,0,20,45,5,0,4,12,31,30,44,58,27,26,19,29,39,19,10,11,24,0,15,36,10,22,25,12,12,17,60,45,0,0
2016-08-01,34,7,3,26,46,0,26,73,19,18,3,0,22,25,43,27,23,12,19,38,24,28,22,29,1,31,25,41,14,21,37,40,17,0,20,12,51,40,32,26,56,12,14,30,2,31,27,25,11,53,0,15,13,50,32,19,9,16,24,35,12,23,59,50,1,1,18,32,32,17,24,0,29,21,0,41,25,19,12,28,0,22,17,35,40,84,35,2,47,18,28,14,32,26,0,22,0,17,26,46,19,0,0,20,23,33,20,8,17,3,49,31,45,26,43,10,12,21,21,33,20,22,23,19,26,1,28,17,27,16,0,20,35,3,0,2,15,31,24,32,57,24,23,18,29,62,31,14,22,15,0,21,37,14,27,35,13,14,16,50,40,0,0
2016-09-01,26,14,1,26,48,0,17,62,24,11,3,0,20,19,23,26,18,10,25,22,26,23,20,27,0,31,25,38,13,19,43,38,9,0,23,18,44,34,27,22,56,18,8,21,0,22,19,21,14,48,0,5,12,38,32,14,14,19,19,59,14,31,19,32,0,1,15,32,27,20,16,0,31,14,0,24,21,17,17,30,0,25,11,20,29,73,45,0,46,14,28,21,42,14,0,24,2,23,23,37,32,0,0,14,33,25,24,12,18,0,68,20,27,19,36,11,10,28,12,22,21,26,25,19,26,5,29,17,36,21,2,17,33,5,0,1,14,30,27,30,55,23,17,19,36,64,18,8,13,17,0,26,44,11,20,27,12,6,23,48,42,0,0
2016-10-01,33,13,0,28,41,0,21,62,25,13,2,0,20,28,16,18,16,12,32,29,29,26,25,29,0,31,18,33,18,16,54,24,4,0,30,16,51,35,31,24,60,15,14,23,3,26,16,12,12,40,0,10,19,47,38,23,9,24,11,41,10,26,37,40,1,3,12,27,28,10,17,0,42,21,0,34,13,25,21,25,0,21,11,20,51,69,51,2,37,17,37,19,27,13,0,27,2,29,20,59,34,0,0,16,19,28,15,14,22,2,43,26,31,16,40,6,14,36,22,28,15,23,32,15,20,8,26,20,28,20,0,18,30,5,0,0,12,42,25,21,55,19,23,19,33,56,22,12,16,15,0,15,39,12,20,39,17,6,16,38,38,0,0
2016-11-01,25,7,1,23,26,0,14,56,29,16,4,0,23,19,25,23,26,14,23,24,28,26,14,19,0,17,13,24,23,12,36,26,9,0,24,13,53,34,28,19,39,12,9,13,0,21,25,23,7,50,0,14,12,39,30,19,13,16,22,43,12,16,68,36,0,5,17,23,21,9,15,0,32,20,0,33,20,16,19,36,0,17,11,27,28,65,37,2,39,20,31,21,31,10,0,17,0,24,31,27,35,0,0,12,30,24,15,14,23,1,59,31,30,23,35,15,23,22,13,27,27,28,25,10,22,3,20,14,36,15,0,20,23,4,0,0,13,33,25,34,55,13,33,20,31,44,16,6,21,19,0,16,28,11,27,34,15,5,18,50,38,0,0
2016-12-01,30,13,0,21,38,0,18,56,21,16,4,0,16,29,18,24,17,5,26,34,27,19,27,24,0,19,13,26,20,22,30,29,9,0,22,8,54,33,29,19,62,16,12,13,2,22,14,20,15,42,0,11,4,29,21,14,11,9,29,36,17,18,64,30,1,3,21,23,24,17,14,0,34,15,0,29,26,16,17,22,0,24,13,13,26,70,46,0,52,28,35,20,31,12,0,22,0,25,18,38,30,0,0,9,32,24,25,11,15,0,55,28,22,24,33,14,18,28,10,28,11,15,26,16,27,9,26,14,41,22,1,16,23,5,0,1,20,30,26,22,48,13,23,16,32,48,21,13,16,21,0,16,26,9,21,29,14,9,12,33,32,0,0
2017-01-01,24,11,2,17,31,0,16,52,11,13,4,0,24,22,19,17,17,9,28,20,19,29,21,23,0,21,11,36,14,18,45,32,11,0,26,19,52,31,31,26,40,13,20,16,1,17,20,18,12,48,0,10,10,25,34,16,11,13,19,26,15,28,34,25,3,6,17,24,24,11,16,0,35,15,0,26,28,15,19,26,0,18,13,26,35,67,47,0,29,24,27,7,26,14,0,19,0,32,26,29,29,0,0,16,31,21,22,6,18,1,56,30,27,16,30,12,10,17,17,29,24,19,24,10,20,4,24,16,32,20,1,19,23,1,0,0,8,27,21,31,61,19,25,17,21,49,18,9,16,20,0,19,35,13,10,25,15,10,15,42,40,0,0
2017-02-01,18,13,6,10,32,0,14,65,17,12,0,0,29,22,15,19,18,7,18,29,20,26,20,29,0,19,12,32,14,23,32,29,8,0,19,5,45,46,22,23,48,19,12,23,1,20,24,15,12,52,0,6,8,38,36,8,11,19,17,41,16,24,29,24,0,0,13,33,24,15,21,0,23,21,0,23,21,21,22,30,0,27,16,36,36,71,30,0,33,20,24,18,33,18,0,25,0,17,14,34,33,0,0,8,17,24,14,12,11,1,61,20,25,17,34,8,9,19,13,27,27,17,16,12,14,4,21,19,37,17,0,17,21,2,1,2,14,34,17,29,39,12,24,21,22,53,13,9,12,18,0,9,33,7,20,26,12,3,6,46,42,0,0
2017-03-01,26,13,5,17,40,0,16,73,21,16,7,0,28,24,16,22,18,13,21,23,0,28,15,27,0,26,14,21,24,14,37,22,13,0,17,13,61,37,33,17,51,18,5,27,1,18,35,24,13,44,0,0,7,37,25,21,11,10,18,40,12,23,63,37,1,2,20,41,27,20,17,0,32,18,0,36,17,22,20,33,0,22,11,24,33,64,41,3,47,26,29,17,28,18,0,22,1,28,19,37,32,0,1,17,25,28,20,7,20,2,50,36,25,17,35,14,11,17,12,23,32,12,29,12,21,9,25,18,33,21,0,13,30,7,0,3,7,31,21,29,61,0,26,24,25,53,20,13,17,18,0,15,40,9,20,36,12,11,14,42,41,39,0
2017-04-01,23,12,0,16,33,0,12,54,18,12,2,0,21,24,14,22,17,8,21,32,0,22,26,24,0,16,17,28,15,23,37,19,16,0,23,14,47,44,33,18,62,17,18,27,3,19,17,20,10,42,0,0,13,29,36,27,9,19,23,40,14,36,56,26,1,1,13,24,23,19,16,0,35,21,0,29,31,18,21,26,0,19,10,28,39,62,45,0,45,25,24,17,35,13,0,37,2,15,21,35,29,0,0,11,19,33,23,9,16,1,42,20,25,17,44,6,24,19,14,18,25,19,28,23,20,7,16,16,31,18,0,17,21,3,0,0,13,33,18,37,39,0,28,23,22,47,27,13,21,18,0,12,30,15,18,30,16,7,15,49,39,32,0
2017-05-01,23,16,1,21,42,0,11,69,22,12,8,0,21,21,15,20,14,11,25,22,0,28,26,22,0,25,13,41,10,24,32,36,12,0,27,13,57,42,32,18,53,29,8,15,1,19,33,10,12,56,0,0,10,31,25,21,10,23,20,41,14,26,48,33,1,3,12,30,19,31,17,0,29,13,0,24,23,23,37,21,0,29,15,25,31,69,42,1,25,25,32,16,30,10,0,27,2,27,29,33,35,0,0,16,18,27,23,9,16,2,54,26,19,17,39,14,17,21,24,26,11,19,30,11,23,3,27,32,38,18,0,15,34,6,1,3,14,31,26,30,44,0,22,25,41,45,23,12,16,14,0,11,28,6,21,31,20,13,13,44,30,40,0
2017-06-01,19,13,2,28,43,0,15,55,19,12,3,0,22,25,17,34,19,14,29,33,0,21,22,23,0,27,11,32,21,20,37,23,8,0,18,12,47,39,32,23,57,15,12,20,2,23,24,23,13,53,0,0,9,43,34,23,11,20,20,39,13,30,45,38,2,1,22,31,32,16,18,0,32,12,0,36,27,20,24,36,0,21,13,28,38,68,33,0,33,25,25,16,36,13,0,37,1,33,30,36,20,0,0,14,36,31,21,10,14,2,49,22,22,25,40,6,13,23,16,38,22,21,37,13,22,9,31,15,36,20,1,14,32,5,1,1,11,31,28,30,54,0,14,16,28,54,30,15,18,26,0,16,27,11,20,44,6,13,22,43,49,40,0
2017-07-01,31,14,2,28,39,0,17,56,16,13,6,0,32,32,21,37,18,8,38,32,0,23,31,29,4,26,14,33,34,32,40,28,10,0,24,10,48,33,39,23,72,20,8,17,2,17,23,21,16,59,0,0,10,33,28,12,8,11,23,34,13,25,50,32,0,1,13,40,26,24,21,0,42,27,0,27,25,18,21,31,0,19,16,27,41,69,50,2,43,36,26,29,33,11,0,39,0,28,26,50,34,0,0,14,20,22,18,8,25,2,58,29,25,25,39,13,21,26,20,32,30,21,50,17,31,8,24,17,30,17,0,24,24,5,0,1,13,35,22,26,55,0,37,24,24,52,33,14,24,28,0,15,39,9,32,41,6,15,17,37,43,43,0
2017-08-01,28,12,4,28,40,0,13,64,23,15,4,0,19,26,23,33,25,7,29,35,0,44,13,33,1,38,19,37,11,20,44,31,12,0,30,16,52,37,41,29,67,22,10,24,1,24,35,25,18,47,0,0,10,43,34,17,12,18,28,41,22,36,58,41,0,1,23,37,25,18,22,0,29,21,0,29,26,34,31,39,0,14,17,22,36,59,55,0,39,37,32,23,41,25,0,44,1,41,19,33,20,0,0,18,30,31,27,9,18,0,61,29,31,22,45,11,14,18,14,29,31,20,31,9,24,10,15,20,48,17,0,14,40,5,0,0,4,25,26,38,47,0,25,20,24,42,28,13,16,24,0,11,47,8,26,35,9,10,17,50,50,41,0
2017-09-01,26,5,1,16,40,0,17,56,33,11,1,0,24,22,28,26,26,10,37,30,0,27,30,27,0,28,13,25,25,23,31,32,6,0,29,15,56,28,35,15,57,23,9,16,0,17,22,23,15,54,0,0,9,42,32,13,19,16,22,35,10,22,51,26,0,0,13,33,22,18,19,0,44,23,0,43,26,17,20,27,0,21,16,26,29,49,56,1,40,29,33,25,24,13,0,29,2,29,22,43,26,0,2,15,27,26,21,9,22,1,52,33,30,19,40,12,17,25,19,35,21,22,23,15,28,7,19,14,29,18,0,15,24,3,0,2,11,23,30,30,64,0,27,22,30,48,27,12,21,24,0,17,31,14,30,40,19,10,12,42,52,48,0
2017-10-01,25,16,1,28,45,0,20,52,30,18,7,0,22,23,20,21,21,7,27,31,0,31,28,24,0,28,24,25,22,18,35,20,16,0,24,11,46,27,29,22,72,21,12,27,3,16,24,24,11,50,0,0,16,33,40,14,7,27,15,30,14,34,52,26,0,0,20,35,27,15,18,0,40,11,0,35,25,16,32,26,0,26,19,26,33,50,61,2,44,38,45,19,40,15,0,33,1,27,30,36,26,0,1,14,25,20,25,9,16,2,68,31,29,16,52,9,14,32,19,36,21,17,27,7,31,10,26,14,35,19,2,13,25,3,0,1,12,37,24,34,62,0,30,16,22,45,17,10,19,16,0,13,38,5,30,31,20,12,12,50,48,44,0
2017-11-01,26,12,2,30,42,0,16,53,23,11,2,0,28,24,23,26,24,8,31,30,0,36,22,25,4,27,15,34,21,25,42,23,10,0,14,12,55,30,32,20,63,18,7,28,0,16,23,21,3,64,0,0,6,37,32,22,13,24,15,41,8,25,62,29,1,1,15,34,19,16,20,0,37,14,0,42,23,23,19,34,0,17,14,20,29,56,45,2,35,26,22,13,34,20,0,19,2,27,24,47,29,0,1,17,24,26,15,12,17,0,59,28,31,16,44,18,18,23,13,29,10,18,32,5,23,8,19,11,35,29,0,20,31,5,0,1,16,32,24,26,49,0,29,19,32,48,21,12,17,23,0,19,36,8,26,26,10,8,17,49,32,36,0
2017-12-01,21,8,1,24,34,0,16,66,25,14,8,0,24,26,24,23,16,15,21,26,0,31,21,26,1,16,12,25,21,18,62,31,12,0,10,7,43,31,30,24,58,23,12,25,2,19,24,27,7,43,0,0,12,36,33,18,16,12,15,28,9,33,54,30,1,1,24,33,21,9,19,0,28,15,0,32,30,21,14,26,0,18,16,16,37,48,34,2,37,25,25,18,28,19,0,27,0,13,22,39,21,0,0,9,28,32,22,8,16,0,57,23,16,18,41,6,16,22,21,22,18,30,32,15,29,9,18,9,39,18,3,10,21,5,0,0,9,31,23,11,41,0,25,15,35,44,24,11,12,26,0,16,25,13,25,26,6,6,13,51,40,38,0
2018-01-01,24,17,4,15,45,0,13,47,13,13,1,0,22,25,20,22,16,4,25,32,0,28,26,28,2,19,20,30,13,17,38,27,18,0,21,10,49,21,28,25,64,18,7,23,0,16,17,16,15,50,0,0,4,41,22,5,6,22,28,35,9,22,41,34,1,0,12,33,23,16,16,0,30,13,0,19,14,20,20,30,0,18,8,22,36,57,46,1,38,28,34,17,31,15,0,20,3,26,22,41,32,0,0,14,24,38,19,7,23,1,54,23,26,18,32,19,14,29,16,23,21,21,27,14,19,4,24,13,35,14,1,12,25,9,0,0,11,33,26,30,41,0,30,19,24,50,27,7,11,16,0,9,35,5,29,23,13,9,13,44,41,46,0
