,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
2013-01-01,34,11,4,11,29,22,17,61,10,8,4,0,13,17,19,7,9,5,20,21,20,7,30,25,1,18,16,25,11,7,20,24,16,10,15,6,34,25,19,20,16,11,9,15,2,14,20,17,4,38,22,2,4,23,28,11,7,11,12,35,9,26,47,18,1,2,18,14,17,17,6,5,24,11,0,24,20,12,10,15,14,14,12,21,34,61,28,3,23,13,35,12,23,11,0,23,1,18,16,10,19,0,0,13,15,14,16,2,18,1,49,15,20,13,34,7,14,21,12,20,20,12,18,12,14,3,18,16,27,5,0,15,13,5,0,0,11,32,25,25,32,11,17,17,32,49,10,17,8,12,13,16,14,7,0,15,11,2,4,32,0,0,0
2013-02-01,21,7,1,20,35,22,13,46,3,9,5,1,21,14,15,13,13,13,19,27,21,9,21,23,1,15,8,29,9,15,29,18,7,9,14,18,33,20,22,15,10,7,11,21,1,14,13,19,7,49,11,6,7,29,19,2,3,9,10,34,10,13,38,22,1,1,19,25,14,14,7,4,28,10,0,26,13,10,13,19,5,7,7,28,34,52,22,0,36,8,13,10,23,14,0,18,0,18,18,16,17,0,0,6,20,15,16,4,24,1,39,22,11,11,27,5,10,18,19,25,11,11,17,7,11,3,18,10,29,15,0,15,21,12,0,3,5,28,30,23,34,12,19,19,19,43,11,11,11,12,9,16,12,7,0,25,7,6,6,30,0,0,0
2013-03-01,31,3,0,19,33,16,10,52,16,7,1,1,19,21,20,20,18,10,24,14,32,6,26,16,3,21,13,31,10,19,42,18,7,10,17,8,42,26,20,16,11,9,5,25,1,15,11,16,8,49,19,3,8,38,21,12,8,10,13,24,23,20,44,27,0,0,15,13,21,10,10,10,15,17,0,25,19,22,16,13,23,15,5,29,18,39,30,0,38,17,22,10,20,5,0,19,3,12,18,18,21,0,0,9,11,18,16,10,28,0,48,17,19,12,26,7,12,18,16,23,19,14,20,15,13,10,23,12,38,9,0,17,13,6,0,1,6,27,22,21,33,23,22,26,22,39,16,14,14,14,12,11,21,8,0,16,14,10,6,46,0,0,0
2013-04-01,26,9,2,20,35,27,6,59,26,8,3,0,11,26,28,33,14,5,20,27,26,9,26,24,1,16,15,25,16,15,24,23,3,11,22,9,34,24,24,20,11,10,7,25,0,8,13,17,3,42,9,9,13,34,31,6,12,10,15,30,9,32,54,23,0,0,22,11,18,13,9,4,26,11,0,20,16,12,11,13,23,11,5,25,28,57,35,1,37,15,31,7,16,14,0,16,0,17,17,10,26,0,0,12,16,18,12,2,29,0,50,22,20,9,23,8,8,13,13,26,16,16,25,8,14,7,25,8,32,5,0,18,14,5,0,0,11,36,26,32,34,11,22,14,20,49,14,13,12,7,11,14,25,7,26,24,11,9,6,28,0,0,0
2013-05-01,24,5,4,29,29,29,10,57,14,7,2,1,19,20,27,27,17,15,17,18,18,3,14,25,0,19,15,21,10,19,34,16,3,10,16,14,36,23,17,19,10,10,11,25,2,17,24,13,9,49,23,5,8,43,27,9,8,14,17,43,10,23,53,24,0,0,9,21,19,16,11,4,25,10,0,15,27,13,11,12,17,8,9,30,22,59,40,2,51,19,23,10,23,9,0,14,1,14,13,21,21,0,1,18,9,22,14,9,23,1,41,15,29,9,29,8,8,22,20,25,18,15,20,12,15,2,13,12,31,7,0,14,24,13,1,1,7,44,24,17,31,14,23,18,24,41,19,16,13,13,10,12,30,11,13,21,18,7,5,25,0,0,0
2013-06-01,20,6,2,17,33,35,8,48,14,12,5,2,18,21,23,17,16,11,17,22,25,5,20,29,2,8,14,25,13,17,30,23,5,15,22,14,45,26,17,14,13,15,13,19,3,19,19,12,13,44,20,7,7,29,30,13,4,13,13,32,6,22,42,23,0,2,14,32,16,17,9,11,32,8,0,23,23,12,13,16,9,16,8,21,21,54,34,1,28,15,29,17,36,8,0,22,1,23,22,22,20,0,0,12,14,29,17,4,20,1,39,7,31,25,26,7,8,17,19,32,23,20,19,13,16,3,14,12,16,12,2,7,16,6,0,1,8,28,27,26,37,16,22,12,16,36,20,15,8,20,16,16,23,15,19,20,13,3,8,40,0,0,0
2013-07-01,26,11,2,18,34,42,16,58,18,7,1,0,31,27,19,22,19,18,18,23,16,9,27,22,1,18,14,39,10,13,37,24,7,4,25,22,49,20,16,20,20,14,9,18,1,11,16,19,15,45,23,5,6,40,29,17,7,15,17,37,12,24,47,23,2,2,15,25,20,16,15,14,29,13,0,22,26,16,13,7,17,18,10,25,27,57,30,2,41,21,26,23,24,15,0,27,0,24,14,27,20,0,0,3,17,18,16,7,14,0,42,11,21,17,29,9,9,14,16,25,23,19,36,10,8,7,22,14,34,17,0,12,29,8,0,0,8,31,22,24,43,12,23,21,36,46,18,11,15,21,12,20,26,14,19,22,11,13,9,36,0,0,0
2013-08-01,30,9,1,15,52,28,14,70,23,20,5,3,24,26,20,21,18,9,12,30,29,5,21,31,0,20,21,33,15,22,32,33,7,17,23,10,31,23,18,14,15,11,7,24,4,18,22,19,10,51,12,2,10,45,38,16,8,23,16,41,13,22,54,22,1,1,20,24,23,14,15,10,36,11,0,23,19,12,12,22,34,20,12,26,31,53,38,2,39,14,22,22,31,11,0,22,0,28,15,26,27,0,0,8,22,18,23,3,21,0,50,6,23,19,26,7,17,25,24,34,20,17,27,8,11,7,29,11,30,18,0,26,22,9,1,1,10,37,25,26,32,17,29,17,36,44,21,13,16,16,12,17,30,16,19,23,14,8,5,42,0,0,0
2013-09-01,23,11,3,16,39,19,13,56,13,14,2,1,22,13,19,20,25,18,16,19,24,6,15,28,1,17,29,26,13,16,34,29,6,9,21,11,54,21,18,15,14,13,7,16,1,15,17,15,11,53,16,9,7,30,22,19,7,6,18,36,14,21,46,33,1,0,9,26,14,17,15,7,34,8,0,31,23,17,14,14,21,21,9,20,31,62,36,0,46,16,16,15,34,8,0,26,0,20,21,23,31,0,1,16,21,16,15,4,19,2,38,13,20,21,36,5,16,15,18,33,19,17,18,14,20,5,17,15,31,13,0,16,3,5,0,0,15,33,22,26,37,14,24,17,23,53,5,20,15,22,15,13,18,16,22,34,15,9,6,46,0,0,0
2013-10-01,27,15,0,17,34,27,17,52,21,15,3,2,21,16,13,20,24,11,22,16,31,3,26,29,0,19,23,26,15,13,35,28,14,10,25,12,46,30,22,15,5,13,5,17,2,16,31,12,8,44,18,12,16,36,24,15,7,15,12,43,13,32,46,24,1,0,19,25,20,18,15,8,29,14,0,34,27,13,10,22,31,18,10,23,39,59,33,1,48,24,22,14,27,8,0,22,1,19,24,16,24,1,1,20,21,17,17,4,24,2,48,23,32,15,29,7,7,27,16,25,16,16,31,10,16,2,22,13,27,12,0,17,2,4,2,1,10,32,18,19,31,18,23,18,22,48,19,12,17,22,14,10,30,9,18,22,18,13,9,39,0,0,0
